Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
1996,Mushsin Muhammad,Michigan State,WR,73.8,217,10.38,33.38,,4.53,,33,120,4.16,,11.31
1996,Greg Myers,Colorado State,FS,73,197,9.25,31,,,14,,,,,
1996,Bobby Neely,Virginia,TE,75.4,263,11,33.5,,5.01,27,30,109,4.39,,12.6
1996,Josh Nelson,Mississippi,QB,74.1,198,10,32.13,,5.05,,31.5,108,4.53,,
1996,Picasso Nelson,Jackson State (MS),SS,71.5,208,9.75,32.38,,,9,,,,,
1996,Jeff Nichols,Grambling State (LA),RB,72,209,8.75,32.13,,,,,,,,
1996,Kendrick Nord,Grambling State (LA),QB,74.5,207,10.13,33.13,,4.71,,36.5,120,4.32,,
1996,Gabe Northern,Louisiana State,DE,74.9,255,9.63,32.5,,4.79,23,30.5,116,4.42,,
1996,Roman Oben,Louisville,OT,76.1,301,10.13,36,,5.17,24,28,107,4.95,,
1996,Jason Odom,Florida,OT,76.5,290,9.5,33,,5.05,22,27,8,4.62,,
1996,Jonathan Ogden,UCLA,OT,80,318,10.63,34.13,,5.12,30,31,113,,,
1996,Ramon Okoli,Murray State (KY),DT,75,305,10.25,33.75,,5.31,24,23.5,102,4.91,,
1996,Winslow Oliver,New Mexico,RB,67.3,181,9,29.25,,4.49,25,35,123,4.14,,11.22
1996,Chuck Osborne,Arizona,DT,73.6,281,9.63,32.25,,,33,,,,,
1996,Buster Owens,Georgia,SS,71.1,197,9,31.38,,4.72,,38,118,4.3,,11.73
1996,Terrell Owens,Tennessee-Chattanooga,WR,74.9,213,10.5,34.5,,4.65,,33,120,4.26,,11.43
1996,Chris Parker,Marshall (WV),RB,70,199,9.88,31.63,,4.54,13,37,125,4.35,,11.57
1996,Christian Peter,Nebraska,DT,75.5,304,9.75,32,,,,,,,,
1996,Lawrence Phillips,Nebraska,RB,71.6,229,9,31.38,,,,,,,,
1996,Kavika Pittman,McNeese State (LA),DE,77.4,263,10.13,33.63,,4.8,,35,123,4.85,,
1996,Kirk Pointer,Austin Peay (TN),CB,71.6,178,9.25,31.13,,4.54,14,38,122,4.22,,11.53
1996,Bruce Presley,Rutgers,RB,69.8,218,9.5,30.63,,4.77,13,28.5,111,,,
1996,Daryl Price,Colorado,DE,75.9,274,9.63,33.63,,4.71,23,32.5,120,4.31,,
1996,J C Price,Virginia Tech,DT,74,278,9.63,32.25,,,,,,,,
1996,Stanley Pritchett,South Carolina,FB,73,232,8.5,31.75,,4.73,11,31,116,4.41,,11.98
1996,Lovett Purnell,West Virginia,TE,74.3,245,9.63,32.63,,4.83,18,29,,4.31,,11.95
1996,Stan Raass,Brigham Young,ILB,71.3,253,10.5,30.13,,5.12,19,29.5,101,4.7,,12.58
1996,Leslie Ratliffe,Tennessee,OT,79.1,296,8.25,34.75,,5.14,18,30,102,4.85,,
1996,Simeon Rice,Illinois,DE,77,259,10.25,36.25,,4.79,26,,,,,
1996,James Richey,Stephen F. Austin (TX),QB,73.8,211,9.63,30.75,,4.97,,25.5,107,,,
1996,Jay Riemersma,Michigan,TE,77.1,254,10,33.25,,,21,,,,,
1996,Phillip Riley,Florida State,WR,70.9,189,9.13,32.88,,4.5,,32.5,120,4.46,,11.66
1996,Adrian Robinson,Baylor,SS,73.5,215,10.38,32.13,,4.75,14,31,111,4.27,,11.92
1996,Brian Roche,San Jose State,TE,75.6,253,10.25,32.13,,4.67,16,28,,4.15,,11.76
1996,Mike Rockwood,Nevada Las Vegas,OT,82.4,341,10.5,36.5,,6.01,26,19.5,83,5.45,,
1996,James Roe,Norfolk State (VA),WR,72.6,187,9.38,33.88,,4.66,,38.5,132,4.34,,11.06
1996,Orpheus Roye,Florida State,DE,75.5,295,10.25,35.5,,5.01,24,29.5,108,4.73,,
1996,Mitch Running,Kansas State,WR,71.1,184,8.38,31,,4.74,,32,108,4.04,,11.17
1996,Jon Runyan,Michigan,OT,79.5,308,9.63,34,,5.34,25,24.5,103,4.73,,
1996,Reggie Rusk,Kentucky,FS,70.5,182,9.5,31.25,,4.58,11,33,119,4.16,,11.87
1996,Reynard Rutherford,California,RB,72.3,201,8.88,30.25,,,18,,,,,
1996,Brandon Sanders,Arizona,SS,69.1,176,9.75,29.63,,4.7,16,30,113,4.29,,11.58
1996,Patrick Sapp,Clemson,OLB,75.1,258,9.38,31.25,,4.9,20,29,110,4.59,,12.05
1996,Craig Sauer,Minnesota,ILB,73.5,226,9.25,32.38,,,,,,,,
1996,Lance Schwindt,Fort Hays State (KS),WR,74.8,210,8.75,31.5,,4.82,,31,120,4.56,,12.06
1996,Freddie Scott,Penn State,WR,70.5,189,9.38,31.75,,4.7,,30,108,,,
1996,Jason Shelley,Central State (OH),WR,72.4,189,9.88,32.88,,4.71,,31,108,4.47,,11.88
1996,Kendel Shello,Southern (LA),DE,74.8,296,9.25,34.25,,5.13,16,27.5,101,4.73,,
1996,Clay Shiver,Florida State,C,74.3,294,10,32.5,,,,,,,,
1996,Eric Simonson,Montana,OT,75.4,291,9.75,32.75,,5.68,25,25.5,107,4.85,,
1996,Toraino Singleton,Texas-El Paso,RB,74.6,235,9.25,33.13,,,19,,,,,
1996,Scott Slutzker,Iowa,TE,76.4,250,10.25,33.25,,,,27.5,110,,,
1996,Eric Smedley,Indiana,FS,71.8,204,8.88,30,,4.76,17,32,112,4.12,,11.65
1996,Brady Smith,Colorado State,DE,77.1,261,10,34.75,,,18,,,,,
1996,Detron Smith,Texas A&M,FB,70.3,234,9.25,30.25,,4.61,31,,,4.38,,12.1
1996,Jeff Smith,Tennessee,C,74.6,331,9.5,31.25,,5.62,,25,93,4.75,,
1996,Matt Soenksen,UCLA,OG,76.5,316,9.63,32.25,,5.37,36,23.5,92,5,,
1996,Aaron Sparrow,Norfolk State (VA),QB,72.5,211,9.75,32.63,,4.94,,29.5,108,4.21,,
1996,Harry Stamps,Oklahoma,OT,76,305,9.63,35.25,,5.58,19,24.5,100,5.09,,
1996,Jon Stark,Trinity International (IL),QB,75.8,222,9.25,31.63,,,,,,,,
1996,Steve Stark,Wisconsin,OG,74.8,304,9.38,32.5,,,,,,,,
1996,Jamain Stephens,North Carolina A&T,OT,77.9,337,10.13,35.13,,5.39,25,27.5,109,4.9,,
1996,Matt Stevens,Appalachian State (NC),CB,72.1,197,9.13,31.13,,,,,,,,
1996,Rayna Stewart,Northern Arizona,CB,69.9,197,9.13,30.63,,4.68,19,34,109,4.1,,11.39
1996,Ryan Stewart,Georgia Tech,FS,73.4,202,9.25,31.63,,4.63,21,31,115,4.2,,11.66
1996,Bryan Still,Virginia Tech,WR,71.1,176,9.25,32,,4.4,,37.5,120,4.06,,11.23
1996,Jason Stinson,Louisville,C,75,291,9.75,32,,5.5,,25.5,92,4.8,,
1996,Bryan Stoltenberg,Colorado,C,73.5,304,9.5,32.25,,5.42,31,26.5,94,4.85,,
1996,Chris Sullivan,Boston College,DE,76.5,271,10,34.25,,5.06,29,33,111,4.38,,
1996,Clarence Sutton,Appalachian State (NC),FS,72.5,209,8.88,32.13,,4.83,19,32,110,4.22,,11.78
1996,Steve Taneyhill,South Carolina,QB,74.4,220,8.88,33,,,,,,,,
1996,Fred Thomas,Tennessee-Martin,CB,69.5,172,8.88,30.63,,4.51,10,35,122,4,,11.75
1996,Zach Thomas,Texas Tech,ILB,71,233,9.25,30.63,,4.85,20,28.5,104,4.24,,11.91
1996,Reggie Tongue,Oregon State,FS,71.9,201,10.25,31.5,,4.52,12,34,115,4.08,,11.16
1996,Amani Toomer,Michigan,WR,74.9,197,9,32.5,,4.5,,40,132,4.14,,11.14
1996,Tom Tumulty,Pittsburgh,ILB,74.5,242,9.63,32.38,,4.97,18,28,,4.38,,12.22
1996,Mike Ulufale,Brigham Young,DE,76,282,10.25,32.75,,5.06,17,28.5,102,4.61,,
1996,Eric Unverzagt,Wisconsin,ILB,73.6,236,9.5,31.75,,4.83,22,30,112,4.4,,12.08
1996,Regan Upshaw,California,DE,75.4,249,9.5,34,,4.81,25,34.5,120,4.61,,
1996,Iheanyi Uwaezuoke,California,WR,72,192,9.13,32.88,,,,,,,,
1996,Alex Van Dyke,Nevada Las Vegas,WR,71.9,200,10.13,32.13,,4.57,,33,120,4.62,,11.86
1996,Tony Veland,Nebraska,FS,72.8,205,10.13,31.5,,4.64,,36,118,4.1,,11.25
1996,Chris Villarrial,Indiana (PA),OG,75,308,10.13,32.13,,5.35,36,22,99,4.85,,
1996,Kyle Wachholtz,Southern California,QB,76.3,233,9.25,32.13,,5.14,,25,96,4.65,,
1996,James Walker,North Carolina State,FS,73,198,8.38,32.5,,4.75,,28.5,105,4.39,,12.27
1996,Robert Walker,West Virginia,RB,70.8,205,9.38,31.38,,4.55,15,34,113,,,
1996,Marcus Wall,North Carolina,WR,68.8,162,9,30.25,,4.59,,31.5,120,4.2,,11.57
1996,Dan White,Arizona,QB,72.5,211,8.75,33.13,,,,,,,,
1996,Ervin Whitehead,William & Mary (VA),WR,72.1,171,9.25,30.5,,4.69,,31.5,120,4.3,,12.02
1996,Ricky Whittle,Oregon,RB,69,200,9.25,30.13,,,,,,,,
1996,Casey Wiegmann,Iowa,C,74.3,291,10.25,30.63,,,,,,,,
1996,Gerome Williams,Houston,FS,72.6,195,9.5,32.63,,4.77,18,34.5,123,,,
1996,Grant Williams,Louisiana Tech,OT,79.8,322,9.5,34.63,,5.6,,23.5,90,4.79,,
1996,Larry Williams,Mississippi State,DT,73.9,285,10.13,34.25,,5.5,23,26.5,99,5.25,,
1996,Moe Williams,Kentucky,RB,72.1,199,9.38,31.63,,4.76,13,37.5,122,4.27,,
1996,Stepfret Williams,Louisiana-Monroe,WR,71.9,170,8.25,31.75,,4.59,,31,120,4.44,,11.44
1996,Tyrone Williams,Nebraska,CB,70.8,190,9,30.63,,4.53,5,34.5,120,,,
1996,Terrell Willis,Rutgers,RB,69.9,196,9.25,31.75,,4.61,11,34.5,122,4.41,,11.56
1996,Sir Mawn Wilson,Syracuse,WR,73,209,9.63,32,,4.6,,35,132,4.24,,11.47
1996,Jon Witman,Penn State,FB,73.9,242,8.63,31.25,,,,,,,,
1996,Jerome Woods,Memphis,FS,74,202,9.25,33,,4.59,,33.5,,,,
1996,Cedric Zachery,Georgia Tech,WR,71.8,176,9,30.5,,4.63,,33.5,120,4.38,,11.35
1996,Dusty Zeigler,Notre Dame,C,77.5,298,10.38,33.25,,5.35,22,25,103,4.94,,
1996,Trent Zenkewicz,Michigan,DT,76.5,281,9.5,33,,5.26,18,23.5,,,,
1995,Clifton Abraham,Florida State,CB,68.6,184,8.88,29.25,,,,,,,,
1995,Derrick Alexander,Florida State,DE,76.1,276,10.25,34,,,,,,,,
1995,Patrice Alexander,Southwestern Louisiana,ILB,72.4,251,,,,4.93,24,30.5,114,4.41,,12.41
1995,Eric Alford,Nebraska,TE,72.6,232,9.5,33.25,,,,,,,,
1995,Kelvin Anderson,Southeast Missouri State,RB,67.6,198,10.13,29.38,,4.65,12,37,111,4.18,,11.5
1995,Justin Armour,Stanford,WR,76.6,221,10.5,32,,4.71,,32.5,116,4.04,,11.36
1995,Antonio Armstrong,Texas A&M,OLB,73.8,234,9.63,30.5,,,17,,,,,
1995,Jamie Asher,Louisville,TE,75.9,243,10,31.75,,4.97,20,31.5,113,4.16,,11.91
1995,Joe Aska,Central Oklahoma,RB,70.5,230,10.13,31.63,,4.43,14,34.5,120,4.31,,11.28
1995,Todd Baczek,Northwestern,OG,75.3,296,10,33.38,,5.35,33,26,98,5.09,,
1995,Henry Bailey,Nevada Las Vegas,WR,68,176,9,30.88,,4.48,,38.5,130,4.12,,11.56
1995,Robert Baldwin,Duke,RB,70.9,222,9.25,32,,4.75,17,31.5,108,4.6,,12.21
1995,Michael Barber,Clemson,OLB,72.8,247,10.75,32,,4.88,,30,111,4.57,,12.56
1995,Jay Barker,Alabama,QB,74.4,212,10,31.63,,4.94,,27,105,4.31,,
1995,Dave Barr,California,QB,74.9,210,9.75,31.38,,,,,,,,
1995,Thomas Baskin,Texas,DT,74,288,9.13,32.25,,,22,,,,,
1995,Wilky Bazile,Syracuse,DT,74.8,271,10,34,,5.26,20,29.5,106,4.66,,
1995,Jeff Beckley,Boston College,P,73.1,195,9.5,30.38,,,,,,,,
1995,John Becksvoort,Tennessee,K,72.1,176,9,31,,,,,,,,
1995,Lee Becton,Notre Dame,RB,71,195,9.38,31.13,,,,,,,,
1995,Brandon Bennett,South Carolina,RB,70.8,201,9.38,31.75,,,,,,,,
1995,Tony Berti,Colorado,OT,77.5,287,10.13,32.13,,4.99,31,26.5,108,4.59,,
1995,Mark Birchmeier,Michigan State,C,74.9,295,10,30.13,,5.28,32,23.5,94,4.78,,
1995,Eric Bjornson,Washington,TE,76.4,215,9.63,31.63,,,,,,,,
1995,Greg Black,North Carolina,DT,75.8,304,10,34,,5.62,16,,,,,
1995,Tony Boselli,Southern California,OT,78.9,323,10,33.5,,5.23,26,30,102,4.6,,
1995,Kevin Bouie,Mississippi State,RB,71.9,225,9,31.13,,4.73,17,30,113,4.41,,12.32
1995,Tony Bouie,Arizona,FS,69.6,187,9.38,30.5,,4.7,15,32.5,116,4.32,,11.94
1995,Stephen Boyd,Boston College,ILB,72.9,240,8.63,29.5,,4.88,26,32,113,4.12,,11.97
1995,Norman Bradford,Grambling State (LA),RB,73.5,203,9.75,32,,4.75,,32,118,4.31,,11.62
1995,Kyle Brady,Penn State,TE,78.4,258,9.5,33.5,,4.84,18,35,120,4.21,,11.81
1995,Brian Bravy,Georgia Tech,OG,75.6,332,9.5,32.25,,5.67,,23.5,94,4.91,,
1995,Alundis Brice,Mississippi,CB,70,161,9.25,31.88,,,,,,,,
1995,Anthony Bridges,North Texas,CB,69,181,8.63,30,,,,,,,,
1995,Blake Brockermeyer,Texas,OT,76.6,305,10.5,33,,,18,,,,,
1995,Barrett Brooks,Kansas State,OT,76.6,305,11,34.5,,5.24,20,,,,,
1995,Derrick Brooks,Florida State,OLB,72.3,229,10.75,32.5,,4.71,,,,,,
1995,Anthony Brown,Utah,OT,77,320,10.38,34.25,,5.57,26,28.5,98,5.13,,
1995,Jamie Brown,Florida A&M,OT,79.6,340,10.13,35.75,,5.64,25,24.5,101,5.21,,
1995,Ken Brown,Virginia Tech,OLB,73.5,235,9.88,34.13,,,13,34.5,115,,,
1995,Kendall Brown,Louisville,DE,75.1,267,9.75,33.25,,,19,,,,,
1995,Lance Brown,Indiana,CB,72.8,200,9.38,31.88,,,14,,,,,
1995,Reuben Brown,Pittsburgh,OT,75.1,304,9.25,34.5,,5.48,22,27,106,4.72,,
1995,Mark Bruener,Washington,TE,76.5,249,9.75,32.5,,4.89,22,34,116,4.19,,11.66
1995,Jeremy Burkett,Colorado State,TE,72.3,225,8.25,30.13,,4.63,,33.5,112,4.21,,11.29
1995,Devin Bush,Florida State,FS,71.4,208,9.63,31.38,,,13,,,,,
1995,Kevin Carter,Florida,DE,77.6,274,10.63,33.25,,,,,,,,
1995,Ki-Jana Carter,Penn State,RB,70,227,9.38,32,,,,,,,,
1995,Ontiwaun Carter,Arizona,RB,68.6,183,8.5,30,,4.63,19,32,114,4.44,,11.4
1995,Stoney Case,New Mexico,QB,74.5,206,9.63,31.38,,4.83,,30.5,111,4.25,,
1995,Ricky Ceasar,Northeastern Oklahoma A&M,DE,74,252,10.63,32.88,,4.92,25,30,109,,,
1995,Byron Chamberlain,Wayne State (NE),TE,73.3,225,9.5,32,,4.72,,33.5,110,4.18,,11.77
1995,Ronald Cherry,McNeese State (LA),OT,75.4,307,10.88,34.25,,5.43,22,28,104,5.35,,
1995,Ryan Christopherson,Wyoming,FB,70.8,243,9.63,30.5,,4.7,24,35,119,4.09,,11.35
1995,Shannon Clavelle,Colorado,DT,74,283,10.25,33.25,,,,,,,,
1995,Tony Cline,Stanford,TE,76.6,251,10.13,32.75,,4.84,25,36.5,121,4.25,,
1995,Mill Coleman,Michigan State,WR,68,171,10.5,30.13,,4.77,,,,,,
1995,Gerald Collins,Vanderbilt,ILB,73.6,252,10.75,32.88,,4.92,19,31.5,111,4.27,,11.6
1995,Kerry Collins,Penn State,QB,77,240,10,32.75,,,,,,,,
1995,Todd Collins,Michigan,QB,76.6,224,9.5,32.5,,5.07,,30,111,4.34,,
1995,Duane Conway,Eastern Illinois,C,74.5,288,10.13,31.75,,5.38,24,26.5,107,4.77,,
1995,Anthony Cook,South Carolina State,DT,74.8,293,8.25,34.25,,,25,,,,,
1995,Carlos Cosby,Jackson State (MS),OG,73.8,306,9.5,33.5,,,26,,,,,
1995,Frank Costa,Miami (FL),QB,75.3,215,10.25,30.88,,5.13,,25,101,4.66,,
1995,Damien Covington,North Carolina State,ILB,71.8,236,9.13,32.25,,4.96,,32,112,4.31,,12
1995,Jamal Cox,Georgia Tech,OLB,72.9,239,9.13,32.25,,4.9,20,29,109,,,
1995,Zack Crockett,Florida State,FB,73.6,244,10.88,31.88,,,20,,,,,
1995,Ken Dammann,Rutgers,OT,76,292,10.5,32.5,,5.43,,29,99,4.91,,
1995,Terry Daniel,Auburn,P,72.6,239,8.63,31.38,,,,,,,,
1995,Ed Daniels,Langston (OK),QB,74.1,203,10,33.13,,5,,27,110,4.47,,
1995,Cedric Davis,Tennessee State,CB,69.5,170,9.5,31.25,,4.44,,32.5,116,4.42,,11.47
1995,Michael Davis,Mississippi State,FB,71.5,230,10,32.13,,4.77,19,30,112,4.72,,12.09
1995,Ronald Davis,Tennessee,CB,70,200,9.5,31.5,,4.57,,38,123,4,,
1995,Terrell Davis,Georgia,RB,71.6,213,9,30.88,,4.72,,35,120,4.41,,11.65
1995,Tyrone Davis,Virginia,TE,76,234,9,32.75,,,,,,,,
1995,Terry Dean,Florida,QB,73.5,213,10.13,32.88,,4.91,,30,111,4.12,,
1995,Greg Delong,North Carolina,TE,74.5,249,9.88,31.25,,4.91,22,26,98,4.41,,12.41
1995,Brian Demarco,Michigan State,OT,77.5,314,11,33.25,,5.63,,26.5,103,4.77,,
1995,Silas Demary,Virginia State,ILB,73.5,247,9.25,32.63,,4.95,16,30.5,111,4.56,,12.41
1995,Lee Deramus,Wisconsin,WR,72,191,10.13,33.75,,,,,,,,
1995,Jim Diguilio,Indiana,P,71.1,187,9.63,30.25,,,,,,,,
1995,Ken Dilger,Illinois,TE,76.9,252,10.13,33.25,,,17,33.5,112,4.19,,11.5
1995,Hugh Douglas,Central State (OH),DE,73.6,265,9.88,33,,4.76,27,32,113,4.5,,
1995,Jamal Duff,San Diego State,DE,78.8,259,10.63,34.5,,4.91,20,34.5,123,4.56,,
1995,Troy Dumas,Nebraska,ILB,75.6,234,10.13,33.13,,4.92,14,35.5,118,4.13,,12.03
1995,David Dunn,Frenso State (CA),WR,73.6,209,10.75,32.63,,,,,,,,
1995,Chad Eaton,Washington State,DT,75.9,292,10.75,33,,5.23,24,25.5,98,4.78,,
1995,Shayne Edge,Florida,P,70.9,175,8.5,30.38,,,,,,,,
1995,Hicham El Mashtoub,Arizona,C,74.4,298,9.75,31.13,,,31,,,,,
1995,Jamal Ellis,Duke,CB,70.6,192,8.5,30.38,,4.66,9,32,,4.19,,
1995,Joey Ellis,Texas,CB,67.6,194,9,29.63,,,18,,,,,
1995,Omar Ellison,Florida State,WR,72.8,203,9.5,33.13,,4.64,,,111,,,
1995,Luther Elliss,Utah,DE,76.9,291,10.63,33.88,,,,,,,,
1995,Josh Evans,Alabama-Birmingham,DT,73.6,283,9.13,33,,5.24,19,26,106,,,
1995,Christian Fauria,Colorado,TE,76,238,10,32.63,,,,,,,,
1995,Fritz Fequiere,Iowa,OT,74.6,289,10.5,33,,5.32,27,,,,,
1995,Mark Fields,Washington State,ILB,73.9,244,9.5,31.88,,4.54,,38,125,4.41,,
1995,Stanley Flanders,Valdosta State (GA),WR,70.3,167,8.88,29.63,,4.86,,30,108,,,
1995,Terrell Fletcher,Wisconsin,RB,67.6,200,9.25,30,,,17,,,,,
1995,Lethon Flowers,Georgia Tech,CB,71.1,204,9.5,30.63,,4.81,14,36,124,4.25,,11.65
1995,Ray Forsythe,Central Florida,OT,74.8,314,9.88,32.5,,5.28,26,24.5,93,5.12,,
1995,Lamont Frazier,Missouri,TE,74.4,245,9.63,33.25,,5.04,5,29,102,4.66,,12.55
1995,Mike Fredrick,Virginia,DE,77.1,278,10.25,32.63,,5.09,23,29,106,4.53,,
1995,Antonio Freeman,Baltimore Polytechnic,WR,72.6,180,8.38,31.25,,,,,,,,
1995,Corey Fuller,Florida State,CB,70.4,197,9.5,31.25,,4.56,11,,,,,
1995,Kenny Gales,Wisconsin,CB,71,173,9.13,31.75,,4.68,19,34,113,3.99,,11.31
1995,Joey Galloway,Ohio State,WR,70.4,188,10.25,30.63,,,,,,,,
1995,Jerry Garrett,Wayne State (NE),WR,70.4,201,8.75,31,,4.71,,30,112,4.25,,11.62
1995,Shannon Garrett,Mississippi College,CB,69.4,185,10.5,32.25,,4.77,10,33,115,4.34,,11.75
1995,Oliver Gibson,Notre Dame,DT,74.5,283,10.13,32.63,,5.3,19,29.5,105,4.65,,
1995,Wesley Goggins,Jacksonville State (AL),CB,69,179,9,30.38,,4.98,12,32.5,107,4.41,,12.44
1995,Justin Goheen,Notre Dame,ILB,73.8,242,10,30.63,,5.01,,29,107,4.34,,
1995,Eddie Goines,North Carolina State,WR,71.9,183,9.5,31.38,,,,,,,,
1995,Ken Grace,Southern California,WR,68.9,167,8.63,29.5,,4.7,,31,114,4.15,,11.16
1995,Scott Gragg,Montana,OT,79.9,316,11,34.25,,5.52,23,25.5,104,5,,
1995,Hason Graham,Georgia,WR,69.8,176,9.25,29.75,,4.56,,28,111,,,
1995,Roger Graham,New Haven (CT),RB,69.9,213,9.88,30.38,,4.81,19,31,116,4.59,,12.43
1995,Paul Greeley,Penn State,C,74,276,9.25,30.25,,5.45,,24.5,97,4.69,,
1995,Andrew Greene,Indiana,OG,75,304,10,32.63,,,29,27.5,104,4.91,,
1995,Tirrell Greene,Miami (FL),OG,74.9,306,10.88,32.25,,5.43,,29,103,4.91,,
1995,Carl Greenwood,UCLA,CB,71,188,10,32.25,,,,,,,,
1995,Clifton Groce,Texas A&M,FB,69.9,238,9.5,31.88,,4.87,17,30.5,109,4.18,,11.84
1995,Travis Hall,Brigham Young,DE,77.1,275,10,33.5,,5.03,17,30.5,117,4.45,,
1995,Norman Hand,Mississippi,DT,75.4,329,9.75,32.75,,,27,,,,,
1995,Shane Hannah,Michigan State,OG,77.3,345,10.88,33,,,21,25,100,4.93,,
1995,Linc Harden,Oklahoma State,OLB,74.8,238,9.13,33.5,,4.75,15,34.5,119,4.4,,11.78
1995,Dwayne Harris,Nebraska,OLB,73.9,227,11.38,34.25,,4.88,15,29.5,114,4.45,,12.35
1995,Sean Harris,Arizona,ILB,75,244,10.5,32.13,,4.8,14,,,,,
1995,Preston Harrison,Ohio State,OLB,76.9,241,9.38,32.88,,4.73,,34,120,4.59,,12.31
1995,Mark Hatfield,Bishop (CN),OT,77.4,279,10.75,33,,5.22,14,33,114,4.94,,
1995,Aaron Hayden,Tennessee,RB,71.6,218,9.13,30.5,,,23,,,,,
1995,Kerry Hayes,Western Carolina,WR,67,163,8.88,29.38,,4.78,,30.5,112,4.25,,11.75
1995,Melvin Hayes,Mississippi State,OT,77.9,327,11.25,34.5,,5.36,,28,109,5.25,,
1995,John Herpin,Southern California,CB,70.9,192,9.13,31.25,,4.76,8,31,112,4.19,,12.15
1995,Edward Hervey,Southern California,WR,74.5,179,9,32.25,,,,,,,,
1995,Kevin Hickman,Navy,TE,76.1,258,9,31.38,,,24,,,,,
1995,Aubrey Hill,Florida,WR,71.3,169,9.5,31,,4.68,,31,112,4.15,,
1995,Marcus Hinton,Alcorn State (MS),TE,76.1,256,9.5,33.5,,4.76,,29,94,4.68,,12.78
1995,Jimmy Hitchcock,North Carolina,CB,70.4,194,8.88,31.38,,4.62,,,,,,
1995,Jim Hoffman,Arizona,DE,76.3,290,9,31.38,,5.14,19,25,102,4.66,,
1995,Kelly Holcomb,Middle Tennessee State,QB,74.4,202,9.5,30.75,,5.12,,28,107,4.44,,
1995,Germaine Holden,Notre Dame,DT,75,264,9.25,33,,4.83,28,33.5,119,4.48,,
1995,John Holecek,Illinois,ILB,74.1,238,9.88,31.88,,4.76,21,32,113,4.04,,11.31
1995,Darius Holland,Colorado,DT,76.6,310,9.75,33.75,,,26,,,,,
1995,Darick Holmes,Portland State (OR),RB,72,226,10.13,31.38,,,,,,,,
1995,Dana Howard,Illinois,ILB,72.4,244,8.63,30.88,,,16,,,,,
1995,Eddie Howard,Idaho,P,73.5,212,9.63,31.75,,,,,,,,
1995,Chris Hudson,Colorado,FS,69.4,195,9.13,30.38,,,,,,,,
1995,Torey Hunter,Washington State,CB,68.6,176,9,30.38,,4.62,,33,,4.48,,
1995,Steve Ingram,Maryland,OT,76.1,311,10.5,34,,5.65,,25,96,4.91,,
1995,Ken Irvin,Memphis,CB,70.1,182,9.25,30.88,,4.7,9,36.5,120,4,,11.1
1995,Jack Jackson,Florida,WR,68.4,171,9.38,29.5,,,,,,,,
1995,Jesse James,Mississippi State,OT,76.3,318,9.13,34.25,,5.23,20,26.5,107,4.81,,
1995,Greg Jefferson,Central Florida,DE,75.4,256,10.25,34.5,,4.72,30,36.5,127,,,
1995,Damien Jeffries,Alabama,DE,76.1,277,9.38,33,,,,,,,,
1995,Trezelle Jenkins,Michigan,OT,79.4,322,10.25,35.5,,5.31,25,28,101,4.85,,
1995,Curtis Johnson,North Carolina,RB,68.6,204,9,30.13,,4.6,20,31.5,112,,,
1995,Ellis Johnson,Florida,DT,74.3,290,11,32.75,,,25,,,,,
1995,Eric Johnson,Central Michigan,RB,70.5,200,8.63,30.88,,4.61,,30.5,113,4.03,,11.31
1995,Melvin Johnson,Kentucky,FS,71.9,195,8.88,33.5,,4.71,13,34.5,127,4.17,,11.4
1995,Rob Johnson,Southern California,QB,75.3,223,9.75,32.25,,,,,,,,
1995,Ron Johnson,Northeastern Oklahoma A&M,FS,72.1,177,9,32.38,,4.73,7,35,123,4.34,,11.77
1995,Ted Johnson,Colorado,ILB,75.4,248,9.25,32.5,,4.84,28,31.5,121,4.35,,11.85
1995,Tommy Johnson,Alabama,CB,70,180,8.88,30.5,,4.74,4,33,116,4.2,,11.68
1995,Chris Jones,Miami (FL),WR,75.8,210,9.63,32,,4.61,,33,116,4.46,,11.59
1995,Donta Jones,Nebraska,OLB,73.8,226,9.13,33.38,,4.71,20,37,130,4.02,,11.15
1995,Jeff Jones,Texas A&M,OT,78,308,9.25,34.25,,5.15,14,27.5,105,4.64,,
1995,Larry Jones,Miami (FL),FB,72.1,244,9.5,31.75,,,25,,,,,
1995,Tim Jones,Clemson,ILB,72.8,239,8.5,32.88,,5.01,19,27.5,,4.65,,12.47
1995,Tony Jones,Syracuse,FS,76,199,10.13,33.5,,4.7,13,34,124,4.3,,11.81
1995,Napoleon Kaufman,Washington,RB,68.5,182,8.5,29.5,,4.48,24,38.5,,,,
1995,Larry Kennedy,Florida,CB,69.8,190,9.13,30.25,,,,,,,,
1995,Marlon Kerner,Ohio State,FS,70.6,187,8.63,30.38,,4.63,11,33,114,4.16,,11.34
1995,Carl Kidd,Arkansas,FS,72.6,206,10.38,32.13,,4.58,14,33,117,4.4,,
1995,Shawn King,Louisiana-Monroe,DE,74.9,278,9.88,32.5,,4.83,,34,118,4.57,,
1995,Jeff Kopp,Southern California,ILB,75,243,10.5,31,,4.97,20,32,114,4.25,,11.73
1995,Jason Kyle,Arizona State,ILB,74.6,243,9.75,32.63,,4.72,23,39,128,4.19,,11.47
